f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
12.0,1.5,40.0,4000.0,844.3037974683543,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,99.53712800342315,134.90489312874809,134.90489312874809,2.594420349626451,4.447577742216773,2.2690316515846605,Safe
12.0,1.5,40.0,5000.0,162.0253164556962,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,19.101577787763368,63.31128419441956,63.31128419441956,5.528240414768302,9.476983568174232,11.63862587142495,Safe
12.0,1.5,40.0,27000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,238.7324145959434,11.789255040885205,250.5216696368286,250.5216696368286,1.3970847332527527,2.395002399861862,12.25752039872018,Risk
12.0,1.5,40.0,7000.0,410.126582278481,20.0,600.0,350.0,240.0,113.09733554808211,61.89358896931866,48.35086877527603,110.24445774459468,110.24445774459468,3.174762769550525,5.442450462086614,4.451679356749926,Safe
12.0,1.5,40.0,3000.0,534.1772151898733,20.0,600.0,350.0,240.0,113.09733554808211,26.52582384399371,62.975514269032345,89.50133811302605,89.50133811302605,3.9105560584367436,6.70381038589156,3.6425215914681357,Safe
12.0,1.5,40.0,15000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,132.62911921996854,55.663191522154186,188.29231074212274,188.29231074212274,1.8588119643265015,3.1865347959882886,3.3585633018230334,Risk
12.0,1.5,40.0,30000.0,534.1772151898733,20.0,600.0,350.0,240.0,113.09733554808211,265.2582384399371,62.975514269032345,328.2337527089694,328.2337527089694,1.0663132511824995,1.8279655734557134,2.126170880477296,Risk
12.0,1.5,40.0,5000.0,472.15189873417717,20.0,600.0,350.0,240.0,113.09733554808211,44.20970640665619,55.663191522154186,99.87289792881037,99.87289792881037,3.5044542338801095,6.007635829508759,3.993952041805954,Safe
12.0,1.5,40.0,22000.0,534.1772151898733,20.0,600.0,350.0,240.0,113.09733554808211,194.52270818928721,62.975514269032345,257.49822245831956,257.49822245831956,1.3592326838500572,2.330113172314384,2.575459980030137,Risk
12.0,1.5,40.0,25000.0,286.0759493670886,20.0,600.0,350.0,240.0,113.09733554808211,221.04853203328094,33.72622328151969,254.77475531480061,254.77475531480061,1.3737624811617029,2.355021396277205,4.494442971480057,Risk
12.0,1.5,40.0,4000.0,100.0,20.0,600.0,350.0,240.0,113.09733554808211,35.36776512532495,11.789255040885205,47.15702016621016,47.15702016621016,7.422012645391166,12.723450249241997,19.15752039865567,Safe
